                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1291,                0.64129,                 1.0201,                 0.9156,                0.85561,                 0.9358,                0.56508,                 1.4031,                0.66136,                 1.1768,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.2008,                0.66367,                 1.0194,                0.91719,                0.83957,                 0.9386,                0.56753,                  1.388,                0.68194,                 1.1675,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.1086,                0.61477,                 1.0183,                0.86929,                0.87701,                0.92059,                0.57031,                 1.3981,                0.67878,                  1.174,               0.000614,               0.000614,               0.000614
                     38,                 1.1109,                0.61858,                 1.0061,                0.89514,                0.91301,                0.94908,                0.57531,                 1.3867,                0.62828,                 1.1767,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.0743,                0.59682,                0.99732,                0.88079,                0.90874,                0.93821,                 0.5675,                 1.3881,                0.62289,                 1.1771,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.0902,                0.60016,                0.99721,                0.91645,                0.87981,                0.95047,                0.56915,                 1.3926,                0.63059,                 1.1706,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.0821,                0.59422,                 1.0103,                0.89841,                0.85126,                0.93301,                0.56841,                 1.3986,                0.64114,                 1.1666,              0.0004556,              0.0004556,              0.0004556
                     42,                   1.09,                 0.5908,                 1.0314,                0.91426,                0.87166,                0.95752,                0.57358,                 1.3824,                0.63845,                 1.1554,               0.000416,               0.000416,               0.000416
                     43,                 1.0628,                0.56018,                 1.0033,                0.88558,                0.86918,                0.93498,                0.55225,                 1.3727,                0.70607,                 1.1632,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.0758,                0.56791,                  1.036,                0.89553,                0.88235,                0.94079,                0.57009,                 1.3776,                0.64931,                  1.168,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.0449,                0.54123,                0.98944,                0.85996,                0.91947,                0.94013,                 0.5787,                 1.3785,                0.63982,                 1.1624,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.0039,                 0.5332,                 0.9841,                 0.8675,                0.91032,                0.93972,                0.56988,                 1.4046,                0.64116,                 1.1825,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.0745,                0.54369,                0.98808,                 0.8488,                 0.8984,                0.93734,                  0.571,                 1.3935,                0.65105,                 1.1752,               0.000218,               0.000218,               0.000218
                     48,                 1.0279,                 0.5224,                0.99047,                0.86312,                0.91979,                 0.9455,                0.57617,                 1.3988,                0.64593,                 1.1786,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.0181,                0.53133,                0.96935,                0.85945,                0.93048,                0.94372,                0.57058,                 1.4015,                0.63984,                 1.1861,              0.0001388,              0.0001388,              0.0001388
                     50,                0.98325,                0.50514,                 0.9557,                0.87279,                0.92513,                0.94633,                0.57475,                 1.3974,                0.63282,                 1.1787,               9.92e-05,               9.92e-05,               9.92e-05
