                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.82501,                0.80656,                 1.0292,                0.84798,                      1,                0.94786,                0.56607,                 1.4139,                 1.5592,                 1.6603,              0.0006932,              0.0006932,              0.0006932
                     36,                0.72994,                0.83503,                 1.0198,                0.82536,                      1,                0.94786,                0.48686,                 1.6985,                 1.4968,                  1.957,              0.0006536,              0.0006536,              0.0006536
                     37,                0.80922,                0.87207,                 1.0803,                0.77124,                0.83333,                0.89394,                0.50401,                 1.6867,                 1.5589,                 1.9186,               0.000614,               0.000614,               0.000614
                     38,                0.79041,                0.83147,                 1.0687,                      1,                 0.8131,                  0.931,                0.52727,                 1.7708,                 1.5101,                  1.933,              0.0005744,              0.0005744,              0.0005744
                     39,                0.76526,                0.86873,                 1.0311,                      1,                0.80516,                0.90885,                0.53383,                 1.7521,                 1.5502,                 1.9255,              0.0005348,              0.0005348,              0.0005348
                     40,                0.77775,                0.74163,                 1.0093,                      1,                0.65367,                0.88667,                0.52959,                 1.6664,                 1.5292,                 1.8376,              0.0004952,              0.0004952,              0.0004952
                     41,                0.72785,                 1.0336,                 1.0394,                 0.9331,                0.83333,                0.85245,                0.51243,                 1.6616,                 1.6061,                 1.7293,              0.0004556,              0.0004556,              0.0004556
                     42,                0.57634,                0.81782,                0.90396,                0.98748,                0.83333,                 0.8365,                0.43853,                 1.6721,                 1.6162,                 1.6091,               0.000416,               0.000416,               0.000416
                     43,                0.58502,                0.75172,                 1.0357,                0.99128,                0.83333,                0.83617,                0.37449,                 1.6873,                 1.6536,                 1.6931,              0.0003764,              0.0003764,              0.0003764
                     44,                0.54057,                 0.7435,                0.93222,                 0.9287,                0.83333,                 0.8363,                0.36461,                 1.6573,                 1.7271,                  1.712,              0.0003368,              0.0003368,              0.0003368
                     45,                0.49296,                0.72838,                0.90328,                0.98915,                0.83333,                0.83657,                0.38632,                 1.7478,                 1.7094,                 1.8286,              0.0002972,              0.0002972,              0.0002972
                     46,                0.63279,                 0.8879,                 1.0022,                0.97801,                0.83333,                0.84328,                0.40398,                 1.7993,                 1.7117,                  1.936,              0.0002576,              0.0002576,              0.0002576
                     47,                0.45438,                0.67246,                0.85262,                0.96853,                0.83333,                0.84262,                0.41129,                 1.7647,                 1.6503,                 1.9485,               0.000218,               0.000218,               0.000218
                     48,                0.49209,                0.72203,                0.88514,                0.97384,                0.83333,                 0.8435,                0.46877,                 1.7462,                 1.5824,                 1.9649,              0.0001784,              0.0001784,              0.0001784
                     49,                0.49336,                 0.7036,                0.85619,                0.99191,                0.83333,                0.84671,                 0.4694,                   1.72,                 1.4615,                 1.9558,              0.0001388,              0.0001388,              0.0001388
                     50,                0.52665,                0.81058,                0.90359,                0.99146,                0.83333,                0.85184,                 0.4704,                 1.7213,                 1.4034,                 1.9604,               9.92e-05,               9.92e-05,               9.92e-05
